Drawer #,Slot #,Size,Empty?,,
011-01,8,10x,,,
011-01,9,10x,,,
011-01,10,10x,,,
011-02,1,10x,,,
011-02,2,10x,,,
011-02,3,10x,,,
011-02,4,10x,,,
011-02,5,10x,,,
011-02,6,10x,,,
011-02,7,10x,,,
011-02,8,10x,,,
011-02,9,10x,,,
011-02,10,10x,,,
011-07,1,8,,,
011-07,2,8,,,
011-11,1,10x,,,
011-11,2,10x,,,
011-11,3,10x,,,
011-11,4,10x,,,
011-11,5,10x,,,
011-11,6,10x,,,
011-11,7,10x,,,
011-11,8,10x,,,
011-11,9,10x,,,
011-11,10,10x,,,
011-13,1,10x,,,
011-13,2,10x,,,
011-13,3,10x,,,
011-13,4,10x,,,
011-13,5,10x,,,
011-13,6,10x,,,
011-13,7,10x,,,
011-13,8,10x,,,
011-13,9,10x,,,
011-13,10,10x,,,
011-17,1,8,,,
011-17,2,8,,,
011-19,1,8,,,
011-19,2,8,,,
011-20,1,6x,y,,
011-20,2,6x,,,
011-20,3,6x,,,
011-20,4,6x,,,
011-20,5,6x,y,,
011-20,6,6x,y,,
011-24,1,6x,,,
011-24,2,6x,,,
011-24,3,6x,,,
011-24,4,6x,,,
011-24,5,6x,y,,
011-24,6,6x,,,
011-30,1,10,,,
011-30,2,6,,,
011-35,1,12,,,
011-35,2,4,,,
011-38,1,10x,,,
011-38,2,10x,,,
011-38,3,10x,,,
011-38,4,10x,,,
011-38,5,10x,,,
011-38,6,10x,,,
011-38,7,10x,,,
011-38,8,10x,,,
011-38,9,10x,,,
011-38,10,10x,,,
012-06,1,8x,,,
012-06,2,8x,,,
012-06,3,8x,,,
012-06,4,8x,,,
012-06,5,8x,,,
012-06,6,8x,,,
012-06,7,8x,,,
012-06,8,8x,,,
012-09,1,6,,,
012-09,2,10,,,
012-12,1,6,,,
012-12,2,10,,,
012-16,1,10x,,,
012-16,2,10x,,,
012-16,3,10x,,,
012-16,4,10x,,,
012-16,5,10x,,,
012-16,6,10x,,,
012-16,7,10x,,,
012-16,8,10x,,,
012-16,9,10x,,,
012-16,10,10x,,,
012-18,2,1,,,
012-26,1,8x,,,
012-26,2,8x,,,
012-26,3,8x,,,
012-26,4,8x,,,
012-26,5,8x,,,
012-26,6,8x,,,
012-26,7,8x,,,
012-26,8,8x,,,
012-27,1,10,,,
012-27,2,6,,,
012-32,1,10,,,
012-32,2,6,,,
012-36,1,6,,,
012-36,2,10,,,
012-37,1,10,,,
012-37,2,6,,,
012-39,1,6,,,
012-39,2,10,,,
012-40,1,10x,,,
012-40,2,10x,,,
012-40,3,10x,,,
012-40,4,10x,,,
012-40,5,10x,,,
012-40,6,10x,,,
012-40,7,10x,,,
012-40,8,10x,,,
012-40,9,10x,,,
012-40,10,10x,,,
012-43,1,6,,,
012-43,2,10,,,
012-49,1,12,,,
012-49,2,4,,,
012-53,1,8,,,
012-53,2,8,,,
012-55,1,10x,,,
012-55,2,10x,,,
012-55,3,10x,,,
012-55,4,10x,,,
012-55,5,10x,,,
012-55,6,10x,,,
012-55,7,10x,,,
012-55,8,10x,,,
012-55,9,10x,,,
012-55,10,10x,,,
012-56,1,12,,,
012-56,2,4,,,
012-58,1,10x,,,
012-58,2,10x,,,
012-58,3,10x,,,
012-58,4,10x,,,
012-58,5,10x,,,
012-58,6,10x,,,
012-58,7,10x,,,
012-58,8,10x,,,
012-58,9,10x,,,
012-58,10,10x,,,
013-07,1,6,,,
013-07,2,10,,,
013-09,1,12w,,,
013-09,2,4w,,,
013-10,1,10x,,,
013-10,2,10x,,,
013-10,3,10x,,,
013-10,4,10x,,,
013-10,5,10x,,,
